City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
224,Qazvin,IR,2020-01-05 14:22:53,36.28,50.01,35.6,74,20,2.24
225,Cherskiy,RU,2020-01-05 14:22:53,68.75,161.3,-6.07,59,77,5.82
226,Te Anau,NZ,2020-01-05 14:22:53,-45.41,167.72,46.29,87,100,17.36
227,Skibbereen,IE,2020-01-05 14:22:53,51.55,-9.27,48.2,93,75,17.22
228,Virginia Beach,US,2020-01-05 14:22:54,36.85,-75.98,44.01,52,20,16.11
229,Harper,US,2020-01-05 14:22:54,30.3,-99.24,48.0,69,1,4.7
230,Kirakira,SB,2020-01-05 14:22:55,-10.46,161.92,77.67,88,87,7.25
231,Vanersborg,SE,2020-01-05 14:21:55,58.38,12.32,42.01,93,90,13.87
232,Acapulco,MX,2020-01-05 14:19:13,16.86,-99.88,73.4,88,5,4.7
233,Guerrero Negro,MX,2020-01-05 14:22:55,27.97,-114.04,55.96,56,0,2.01
234,Hanting,CN,2020-01-05 14:22:55,30.92,118.55,53.64,93,38,3.06
235,Freetown,BS,2020-01-05 14:22:56,26.61,-78.36,66.2,59,20,26.4
236,Butaritari,KI,2020-01-05 14:22:56,3.07,172.79,85.23,75,99,12.55
237,Vostok,RU,2020-01-05 14:22:56,46.45,135.83,-5.85,98,100,4.25
238,Norman Wells,CA,2020-01-05 14:22:56,65.28,-126.83,-22.0,67,75,5.82
239,Vila Velha,BR,2020-01-05 14:22:57,-3.71,-38.6,86.0,66,75,14.99
240,Lensk,RU,2020-01-05 14:22:57,60.71,114.91,15.46,87,100,13.06
241,Narathiwat,TH,2020-01-05 14:22:57,6.43,101.8,78.8,78,40,4.7
242,Homer,US,2020-01-05 14:22:58,59.64,-151.54,10.4,66,90,4.7
243,Sao Miguel Do Araguaia,BR,2020-01-05 14:22:58,-13.28,-50.16,77.34,89,86,6.69
244,Pochutla,MX,2020-01-05 14:22:58,15.74,-96.47,73.99,83,75,3.51
245,Avera,US,2020-01-05 14:22:58,33.19,-82.53,41.0,64,1,10.29
246,Palana,RU,2020-01-05 14:22:58,59.08,159.95,5.36,75,0,4.79
247,Santa Rosa,AR,2020-01-05 14:22:59,-36.62,-64.29,71.6,88,75,9.17
248,Torbay,CA,2020-01-05 14:22:59,47.66,-52.73,33.01,92,90,10.29
249,Otavi,NA,2020-01-05 14:22:59,-19.64,17.34,71.6,72,93,8.12
250,Petropavlovsk-Kamchatskiy,RU,2020-01-05 14:22:59,53.05,158.65,32.0,85,75,11.18
251,Luganville,VU,2020-01-05 14:23:00,-15.51,167.18,73.47,96,88,2.59
